,Date,value,value,value,value,value,value,value,value,value,value,value
GICS Sector,,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
4839,2019-03-27,160.85833835601807,211.09776654551106,77.78717428638089,55.65942642905495,89.23701559213491,150.92475779094394,110.42868002255757,106.4115878955738,82.62548496105053,107.2055106985158,62.35710573196411
4840,2019-03-28,160.32311083720282,210.976912806111,78.385344905238,55.953430609269574,89.87077793708214,151.75438033209906,111.51815491252475,107.0613489279876,83.558092435201,107.99014663696289,61.650407450539724
4841,2019-03-29,160.51174666331366,211.60989204529793,78.84717436759702,55.75500358234752,90.28929160191463,153.81840239630804,112.629606101248,108.28264763548567,84.12846748917191,108.03222077468345,61.97316626140049
4842,2019-04-01,163.15325054755579,213.18450621635682,78.63198108057821,56.38220622322776,92.129027395982,154.3370639861576,114.9938520722919,110.38343986305031,85.48659571894893,107.8835501835264,61.55994946616037
4843,2019-04-02,163.7785482773414,213.38717216061008,78.05571082330519,55.79349639198997,92.16741632314829,154.33726607428656,114.83709206846025,110.53118078128712,85.58040742520933,108.8213377985461,61.5601087978908
4844,2019-04-03,164.28542371896597,214.82549824253206,77.88076628408125,55.16830132224343,92.463586132343,154.1425512404669,114.94401122464075,111.61915424707773,89.23152817212619,108.78116515587116,61.51485422679356
4845,2019-04-04,165.01189690369827,216.59519740073912,78.36466684649068,55.58256591450084,92.84269723158616,153.7158356318398,115.61956054634518,110.5332663252547,89.84078840109018,108.41614795553274,61.24694435937064
4846,2019-04-05,164.8942530338581,217.5496920924033,78.68102670484974,56.888366265730426,93.19770249586838,155.2780413551936,116.1069844563802,111.15152882240913,87.15190188090007,109.23540227166538,61.855971813201904
4847,2019-04-08,164.5375990500817,218.48382694490493,78.93502739937075,57.19163131713867,93.40492499424862,155.12604683164565,116.05660659737057,111.54262252756067,87.00819637157299,108.66964307324639,61.40244204657419
4848,2019-04-09,164.30985175646268,217.01076613703083,78.77649559513215,56.469748150218614,92.62179191295917,154.4759750366211,114.42167154947917,111.06189227748561,86.33460087246365,108.36245938005119,61.5435664994376
4849,2019-04-10,164.98746941639826,218.9409060016755,79.11048156984391,56.9975285096602,93.0938874758207,155.2652382320828,114.48223243819342,112.0951459343369,86.43254912341082,109.0975504250362,61.33681379045759
4850,2019-04-11,165.39383341715887,219.9865424556117,79.21368642007151,56.85884258963845,93.63740681868333,153.7242617834182,115.75266329447429,112.35808047732792,86.4636329015096,109.01532232350317,61.668536118098665
4851,2019-04-12,166.47688289789053,221.04912139523415,79.24574925822597,57.91418959877708,95.02702234708346,152.85555058433897,117.00671711232927,113.42437352360906,87.56335117198803,109.59421381457099,62.00862285069057
4852,2019-04-15,166.59811067581177,222.07136867892356,79.67646561899492,57.422144109552555,94.58373922201304,153.00506494915675,116.54407220416599,113.37607642766592,87.24596560442889,108.96556295197585,61.93576267787388
4853,2019-04-16,167.3485817175645,222.82705842295002,79.53980452014554,57.803846099159934,95.91989750495324,148.99487011016362,116.98482758469052,113.8326863855929,87.61067369249132,106.33445535857102,61.07541629246303
4854,2019-04-17,168.04371118545532,222.79405766148722,79.78407453721569,57.88536522605202,95.6401098544781,143.54538490658715,117.0194107691447,113.40552250114646,86.88151461989791,105.19515198674695,60.92488827024187
4855,2019-04-18,168.3169481570904,223.4609595114185,80.16053372044718,57.629638931967996,95.58508431361271,144.65192298283654,118.25332510471344,113.38954117491438,87.27051960980451,105.96662254991203,60.97446346282959
4856,2019-04-22,169.73318888590887,226.00578721877068,80.43786836439564,58.886400482871316,95.28710664602427,144.60715439206078,117.67765551143222,113.68604034990878,86.95918584752965,105.01570257647285,60.85229097093855
4857,2019-04-23,171.73774455143854,227.5591376058517,80.44138047002977,58.74557547135787,96.18080811133751,146.51373066977848,118.97904723220401,114.89644151120572,87.57580707691334,106.10451783805058,61.15097747530256
4858,2019-04-24,170.75733199486365,227.47204297588718,80.63711184840048,57.52085625041615,96.29166635366586,146.61198930891734,118.60035188992818,115.22410851555901,87.14463096194797,106.99562786365378,61.49527951649257
4859,2019-04-25,171.63934502234827,224.85251889690275,80.48690488261562,57.07105879350142,96.43797217149,148.26766362265934,116.68992741902669,114.58390719181783,86.22566382090251,106.90069764235923,61.76857130868094
4860,2019-04-26,173.35404872894287,225.2353330273782,81.18394070286905,56.37196194041859,97.31304184840276,149.92235286652095,117.50924848185645,114.90999118701832,86.9725628958808,107.46468136228364,61.84247146333967
4861,2019-04-29,174.90063381195068,225.05045127868652,81.15961480909779,56.3185866095803,97.89187994736892,149.44233773246643,117.74074823326535,114.80033795898025,86.87659736915872,106.33292375761887,61.43066249574934
4862,2019-04-30,166.96770433279184,225.03880548477173,81.94923567002819,56.09020302512429,98.37078424600455,150.07494856819275,118.08237943384383,115.51117367357821,87.6058982566551,107.71381486695388,62.482206855501445
4863,2019-05-01,165.44770611249484,223.95753197516166,80.6878532901887,54.569115291942246,97.40828361511231,148.79433704557874,117.19584869013892,113.99214664665428,89.1010028398954,107.71280456411428,61.7781936441149
4864,2019-05-02,164.58025983663705,225.53442075175624,80.56805844460764,53.468528270721436,97.53517824319692,150.2786454094781,117.18961244159274,113.78995489429784,89.82586211424608,108.25049110938762,61.658759696143015
4865,2019-05-03,167.12189861444327,227.54297762532389,81.15564254022414,54.08330704949119,98.48099999060997,152.0209891304137,118.60838170846303,113.89161868997522,87.70023889894838,109.08885008713295,62.12762515885489
4866,2019-05-06,167.12486542188205,226.88145185285998,81.15631718789378,53.941728288477115,98.32645542438213,152.68774359566825,117.5865242878596,113.08944430222382,86.71183116347702,108.75030451807483,61.833715302603586
4867,2019-05-07,164.85407612873956,223.6594498080592,80.45669672566075,53.22068197076971,96.72352482722356,149.22788816785055,115.60427555772993,110.68581716434376,85.49196769573071,106.98787024925495,61.68061545916966
4868,2019-05-08,164.10729624674872,222.72262425576486,80.48590272472751,53.624181270599365,96.54081211090087,149.43314152672178,115.58908930089738,110.76006946048221,85.30315395637795,107.17546443281502,60.84414209638323
4869,2019-05-09,163.86725216645462,223.1768094493497,80.40670561021373,53.56288342042403,96.42520137199989,149.6878255813841,115.42574308978186,110.39163107485385,87.75512390870314,107.42073611555428,60.8588810307639
4870,2019-05-10,164.22238049140344,223.89627090577156,81.09146179691437,53.66962359168313,97.16175151238075,149.14426164778453,115.78679017225902,110.88289965810003,88.36213926168588,108.59760915821997,61.96725170952933
4871,2019-05-13,159.46612768906814,218.10934857399232,80.48941599938178,52.63845513083718,94.49190949660081,145.29636531405978,112.57651866806879,106.42774395040564,86.44718955113338,108.57595627883384,62.66772597176688
4872,2019-05-14,159.32956358102652,220.21576195378458,80.78715896606445,53.510179259560324,95.59580414111798,146.613584548708,113.42706349160936,108.44527526803918,87.13102942246657,108.97263349335769,62.14108848571777
4873,2019-05-15,163.97522599880512,221.49477721798806,81.33776363249748,53.76117151433771,95.2645934178279,146.98366110665458,113.58002372582753,109.35043396820893,87.1060299873352,109.64598195306186,62.102694920131135
4874,2019-05-16,165.6615952711839,223.36882026733892,81.78517981498472,54.380261334505946,96.35334060375507,148.32123329525902,114.8788168032964,110.22338484429024,88.01187867384691,110.35857746518892,62.51115996497018
4875,2019-05-17,164.23180253689105,221.92407887981784,81.61250834311208,53.74021421779286,95.79854329916147,147.36122643001497,113.67793451415167,108.68871106328191,87.50173392662636,110.21616113596949,62.848495142800466
4876,2019-05-20,161.18513873907236,219.9716159605211,81.45626381904849,53.636060671372846,95.99907825176533,146.74707152351502,113.41324582364824,106.77572285162437,86.13201610858624,108.58421634805613,62.947480133601594
4877,2019-05-21,162.79458258702203,222.8271123516944,81.45976515739194,54.56845860047774,96.85040099804218,148.20461594112336,114.86058606041803,108.41594216630266,87.30433456714337,109.54599755385826,62.92969574247088
4878,2019-05-22,162.84897111012384,220.9748275049271,81.69895258257466,53.27774706753817,96.57080540290245,149.22511987837535,113.83775117662218,108.25244404818561,86.53849968543419,110.18803201872727,63.45928120613098
